region,county,district_name,total_enrollment,tea_description,bill_category,average_base_pay,alice_threshold_hh_under_65,difference
17,LYNN COUNTY,O'DONNELL ISD,271,Rural,under 300,51746,50000,1746
17,LYNN COUNTY,TAHOKA ISD,579,Rural,under 1600,54718,50000,4718
17,LYNN COUNTY,WILSON ISD,137,Rural,under 300,47891,50000,-2109
06,MADISON COUNTY,MADISONVILLE CISD,2392,Non-metropolitan Stable,under 5000,62969,60000,2969
06,MADISON COUNTY,NORTH ZULCH ISD,358,Rural,under 1600,58448,60000,-1552
08,MARION COUNTY,JEFFERSON ISD,1106,Non-metropolitan Stable,under 1600,54581,50000,4581
18,MARTIN COUNTY,GRADY ISD,250,Rural,under 300,79496,50000,29496
18,MARTIN COUNTY,STANTON ISD,1040,Other Central City Suburban,under 1600,59231,50000,9231
15,MASON COUNTY,MASON ISD,705,Rural,under 1600,54391,50000,4391
03,MATAGORDA COUNTY,BAY CITY ISD,3514,Independent Town,under 5000,58572,55599.7931788804,2972
03,MATAGORDA COUNTY,MATAGORDA ISD,113,Rural,under 300,53405,55599.7931788804,-2195
03,MATAGORDA COUNTY,PALACIOS ISD,1266,Non-metropolitan Stable,under 1600,58306,55599.7931788804,2706
03,MATAGORDA COUNTY,TIDEHAVEN ISD,1029,Non-metropolitan Stable,under 1600,64276,55599.7931788804,8676
03,MATAGORDA COUNTY,VAN VLECK ISD,1051,Non-metropolitan Stable,under 1600,70160,55599.7931788804,14560
20,MAVERICK COUNTY,EAGLE PASS ISD,13869,Other Central City Suburban,over 5000,64459,45000,19459
15,MCCULLOCH COUNTY,BRADY ISD,971,Non-metropolitan Stable,under 1600,52690,53547.3889980354,-857
15,MCCULLOCH COUNTY,LOHN ISD,109,Rural,under 300,58862,53547.3889980354,5315
15,MCCULLOCH COUNTY,ROCHELLE ISD,161,Rural,under 300,53301,53547.3889980354,-246
12,MCLENNAN COUNTY,AXTELL ISD,845,Rural,under 1600,55123,57823.13807708,-2700
12,MCLENNAN COUNTY,BOSQUEVILLE ISD,723,Rural,under 1600,56309,57823.13807708,-1514
12,MCLENNAN COUNTY,BRUCEVILLE-EDDY ISD,586,Rural,under 1600,51685,57823.13807708,-6138
12,MCLENNAN COUNTY,CHINA SPRING ISD,3037,Other Central City Suburban,under 5000,57124,57823.13807708,-699
12,MCLENNAN COUNTY,CONNALLY ISD,2289,Other Central City Suburban,under 5000,55998,57823.13807708,-1825
12,MCLENNAN COUNTY,CRAWFORD ISD,599,Rural,under 1600,55990,57823.13807708,-1833
12,MCLENNAN COUNTY,GHOLSON ISD,270,Rural,under 300,51602,57823.13807708,-6221
12,MCLENNAN COUNTY,HALLSBURG ISD,145,Rural,under 300,57453,57823.13807708,-370
12,MCLENNAN COUNTY,LA VEGA ISD,3120,Other Central City Suburban,under 5000,58049,57823.13807708,226
12,MCLENNAN COUNTY,LORENA ISD,1858,Non-metropolitan Stable,under 5000,56045,57823.13807708,-1778
12,MCLENNAN COUNTY,MART ISD,606,Rural,under 1600,56871,57823.13807708,-952
12,MCLENNAN COUNTY,MCGREGOR ISD,1532,Non-metropolitan Stable,under 1600,55124,57823.13807708,-2699
12,MCLENNAN COUNTY,MIDWAY ISD,8986,Other Central City Suburban,over 5000,55354,57823.13807708,-2469
12,MCLENNAN COUNTY,MOODY ISD,727,Rural,under 1600,54602,57823.13807708,-3221
12,MCLENNAN COUNTY,RIESEL ISD,652,Rural,under 1600,52434,57823.13807708,-5389
12,MCLENNAN COUNTY,ROBINSON ISD,2413,Other Central City Suburban,under 5000,56291,57823.13807708,-1532
12,MCLENNAN COUNTY,WACO ISD,13517,Other Central City,over 5000,58514,57823.13807708,691
12,MCLENNAN COUNTY,WEST ISD,1250,Non-metropolitan Stable,under 1600,57277,57823.13807708,-546
02,MCMULLEN COUNTY,MCMULLEN COUNTY ISD,271,Rural,under 300,62667,75000,-12333
20,MEDINA COUNTY,D'HANIS ISD,278,Rural,under 300,61357,50000,11357
20,MEDINA COUNTY,DEVINE ISD,1984,Non-metropolitan Stable,under 5000,56363,50000,6363
20,MEDINA COUNTY,HONDO ISD,1753,Non-metropolitan Stable,under 5000,54677,50000,4677
20,MEDINA COUNTY,MEDINA VALLEY ISD,8700,Major Suburban,over 5000,64709,50000,14709
20,MEDINA COUNTY,NATALIA ISD,1268,Non-metropolitan Stable,under 1600,56352,50000,6352
15,MENARD COUNTY,MENARD ISD,287,Rural,under 300,52151,45000,7151
18,MIDLAND COUNTY,GREENWOOD ISD,3257,Other Central City Suburban,under 5000,62922,60000,2922
18,MIDLAND COUNTY,MIDLAND ISD,28752,Other Central City,over 5000,66007,60000,6007
12,MILAM COUNTY,BUCKHOLTS ISD,116,Rural,under 300,62142,53544.808159592,8597
06,MILAM COUNTY,CAMERON ISD,1517,Independent Town,under 1600,59341,53544.808159592,5796
06,MILAM COUNTY,GAUSE ISD,142,Rural,under 300,56871,53544.808159592,3326
06,MILAM COUNTY,MILANO ISD,411,Rural,under 1600,54821,53544.808159592,1276
06,MILAM COUNTY,ROCKDALE ISD,1516,Independent Town,under 1600,57208,53544.808159592,3663
13,MILAM COUNTY,THORNDALE ISD,598,Rural,under 1600,58650,53544.808159592,5105
12,MILLS COUNTY,GOLDTHWAITE ISD,533,Rural,under 1600,53576,50000,3576
12,MILLS COUNTY,MULLIN ISD,211,Rural,under 300,60925,50000,10925
12,MILLS COUNTY,PRIDDY ISD,118,Rural,under 300,53122,50000,3122
14,MITCHELL COUNTY,COLORADO ISD,947,Non-metropolitan Stable,under 1600,52804,60000,-7196
14,MITCHELL COUNTY,LORAINE ISD,133,Rural,under 300,49113,60000,-10887
14,MITCHELL COUNTY,WESTBROOK ISD,245,Rural,under 300,57610,60000,-2390
09,MONTAGUE COUNTY,BOWIE ISD,1567,Non-metropolitan Stable,under 1600,57905,57024.1234756098,881
09,MONTAGUE COUNTY,FORESTBURG ISD,184,Rural,under 300,50268,57024.1234756098,-6756
09,MONTAGUE COUNTY,GOLD BURG ISD,155,Rural,under 300,52563,57024.1234756098,-4461
09,MONTAGUE COUNTY,MONTAGUE ISD,158,Rural,under 300,61269,57024.1234756098,4245
09,MONTAGUE COUNTY,NOCONA ISD,752,Rural,under 1600,57866,57024.1234756098,842
09,MONTAGUE COUNTY,PRAIRIE VALLEY ISD,127,Rural,under 300,64395,57024.1234756098,7371
09,MONTAGUE COUNTY,SAINT JO ISD,346,Non-metropolitan Fast Growing,under 1600,52185,57024.1234756098,-4839
06,MONTGOMERY COUNTY,CONROE ISD,72352,Other Central City,over 5000,63624,60000,3624
06,MONTGOMERY COUNTY,MAGNOLIA ISD,14468,Other Central City Suburban,over 5000,60338,60000,338
06,MONTGOMERY COUNTY,MONTGOMERY ISD,9794,Other Central City Suburban,over 5000,63442,60000,3442
06,MONTGOMERY COUNTY,NEW CANEY ISD,18987,Other Central City Suburban,over 5000,65602,60000,5602
06,MONTGOMERY COUNTY,SPLENDORA ISD,5221,Other Central City Suburban,over 5000,65095,60000,5095
06,MONTGOMERY COUNTY,WILLIS ISD,8974,Other Central City Suburban,over 5000,60376,60000,376
16,MOORE COUNTY,DUMAS ISD,4301,Non-metropolitan Stable,under 5000,53867,50000,3867
16,MOORE COUNTY,SUNRAY COLLEGIATE ISD,636,Non-metropolitan Fast Growing,under 1600,45113,50000,-4887
08,MORRIS COUNTY,DAINGERFIELD-LONE STAR ISD,1022,Non-metropolitan Stable,under 1600,50792,45000,5792
08,MORRIS COUNTY,PEWITT CISD,842,Rural,under 1600,51342,45000,6342
17,MOTLEY COUNTY,MOTLEY COUNTY ISD,160,Rural,under 300,53798,50000,3798
07,NACOGDOCHES COUNTY,CENTRAL HEIGHTS ISD,1079,Non-metropolitan Stable,under 1600,54322,50000,4322
07,NACOGDOCHES COUNTY,CHIRENO ISD,351,Rural,under 1600,55349,50000,5349
07,NACOGDOCHES COUNTY,CUSHING ISD,551,Rural,under 1600,58412,50000,8412
07,NACOGDOCHES COUNTY,DOUGLASS ISD,426,Rural,under 1600,52264,50000,2264
07,NACOGDOCHES COUNTY,GARRISON ISD,771,Rural,under 1600,54012,50000,4012
07,NACOGDOCHES COUNTY,MARTINSVILLE ISD,317,Rural,under 1600,53099,50000,3099
07,NACOGDOCHES COUNTY,NACOGDOCHES ISD,5863,Independent Town,over 5000,54210,50000,4210
07,NACOGDOCHES COUNTY,WODEN ISD,856,Rural,under 1600,54762,50000,4762
12,NAVARRO COUNTY,BLOOMING GROVE ISD,956,Non-metropolitan Stable,under 1600,52819,63938.5179776173,-11120
12,NAVARRO COUNTY,CORSICANA ISD,6075,Independent Town,over 5000,60391,63938.5179776173,-3548
12,NAVARRO COUNTY,DAWSON ISD,713,Rural,under 1600,55075,63938.5179776173,-8864
12,NAVARRO COUNTY,FROST ISD,473,Rural,under 1600,58005,63938.5179776173,-5934
12,NAVARRO COUNTY,KERENS ISD,630,Rural,under 1600,55392,63938.5179776173,-8547
12,NAVARRO COUNTY,MILDRED ISD,837,Rural,under 1600,56729,63938.5179776173,-7210
12,NAVARRO COUNTY,RICE ISD,1071,Non-metropolitan Stable,under 1600,59169,63938.5179776173,-4770
05,NEWTON COUNTY,BURKEVILLE ISD,247,Rural,under 300,61550,55141.1008458035,6409
05,NEWTON COUNTY,DEWEYVILLE ISD,538,Rural,under 1600,53779,55141.1008458035,-1362
05,NEWTON COUNTY,NEWTON ISD,927,Non-metropolitan Stable,under 1600,52025,55141.1008458035,-3116
14,NOLAN COUNTY,BLACKWELL CISD,170,Rural,under 300,59188,54828.3080103359,4360
14,NOLAN COUNTY,HIGHLAND ISD,222,Rural,under 300,50938,54828.3080103359,-3890
14,NOLAN COUNTY,ROSCOE COLLEGIATE ISD,8425,Non-metropolitan Fast Growing,over 5000,53555,54828.3080103359,-1273
14,NOLAN COUNTY,SWEETWATER ISD,1850,Non-metropolitan Stable,under 5000,54582,54828.3080103359,-246
02,NUECES COUNTY,AGUA DULCE ISD,391,Non-metropolitan Fast Growing,under 1600,58269,58781.2636661145,-512
02,NUECES COUNTY,BANQUETE ISD,821,Rural,under 1600,54183,58781.2636661145,-4598
02,NUECES COUNTY,BISHOP CISD,1362,Non-metropolitan Stable,under 1600,58618,58781.2636661145,-163
02,NUECES COUNTY,CALALLEN ISD,3877,Non-metropolitan Stable,under 5000,59947,58781.2636661145,1166
02,NUECES COUNTY,CORPUS CHRISTI ISD,33053,Other Central City,over 5000,57159,58781.2636661145,-1622
02,NUECES COUNTY,DRISCOLL ISD,340,Rural,under 1600,61454,58781.2636661145,2673
02,NUECES COUNTY,FLOUR BLUFF ISD,5665,Other Central City Suburban,over 5000,58944,58781.2636661145,163
02,NUECES COUNTY,LONDON ISD,1726,Other Central City Suburban,under 5000,55209,58781.2636661145,-3572
02,NUECES COUNTY,PORT ARANSAS ISD,527,Non-metropolitan Fast Growing,under 1600,58847,58781.2636661145,66
02,NUECES COUNTY,ROBSTOWN ISD,2508,Non-metropolitan Stable,under 5000,58980,58781.2636661145,199
02,NUECES COUNTY,TULOSO-MIDWAY ISD,3636,Other Central City Suburban,under 5000,58990,58781.2636661145,209
02,NUECES COUNTY,WEST OSO ISD,1908,Other Central City Suburban,under 5000,57118,58781.2636661145,-1663
16,OCHILTREE COUNTY,PERRYTON ISD,1922,Non-metropolitan Stable,under 5000,47781,50000,-2219
16,OLDHAM COUNTY,ADRIAN ISD,117,Rural,under 300,45119,71513.320754717,-26394
16,OLDHAM COUNTY,BOYS RANCH ISD,153,Rural,under 300,59127,71513.320754717,-12386
16,OLDHAM COUNTY,VEGA ISD,351,Rural,under 1600,51103,71513.320754717,-20410
16,OLDHAM COUNTY,WILDORADO ISD,215,Rural,under 300,44433,71513.320754717,-27080
05,ORANGE COUNTY,BRIDGE CITY ISD,3235,Independent Town,under 5000,54182,58199.875461017204,-4018
05,ORANGE COUNTY,LITTLE CYPRESS-MAURICEVILLE CISD,3241,Independent Town,under 5000,53398,58199.875461017204,-4802
05,ORANGE COUNTY,ORANGEFIELD ISD,1809,Other Central City Suburban,under 5000,53638,58199.875461017204,-4562
05,ORANGE COUNTY,VIDOR ISD,4311,Other Central City Suburban,under 5000,55499,58199.875461017204,-2701
05,ORANGE COUNTY,WEST ORANGE-COVE CISD,2573,Non-metropolitan Stable,under 5000,54695,58199.875461017204,-3505
11,PALO PINTO COUNTY,GORDON ISD,233,Rural,under 300,53568,50000,3568
11,PALO PINTO COUNTY,GRAFORD ISD,330,Rural,under 1600,56410,50000,6410
11,PALO PINTO COUNTY,MINERAL WELLS ISD,3321,Independent Town,under 5000,70715,50000,20715
11,PALO PINTO COUNTY,PALO PINTO ISD,102,Rural,under 300,53720,50000,3720
11,PALO PINTO COUNTY,SANTO ISD,556,Rural,under 1600,55580,50000,5580
11,PALO PINTO COUNTY,STRAWN ISD,165,Rural,under 300,58175,50000,8175
07,PANOLA COUNTY,BECKVILLE ISD,700,Rural,under 1600,53313,60436.5517241379,-7124
07,PANOLA COUNTY,CARTHAGE ISD,2598,Non-metropolitan Stable,under 5000,59539,60436.5517241379,-898
07,PANOLA COUNTY,GARY ISD,485,Rural,under 1600,53320,60436.5517241379,-7117
11,PARKER COUNTY,ALEDO ISD,8161,Major Suburban,over 5000,64939,71607.3684312164,-6668
11,PARKER COUNTY,BROCK ISD,2177,Other Central City Suburban,under 5000,54201,71607.3684312164,-17406
11,PARKER COUNTY,GARNER ISD,365,Non-metropolitan Fast Growing,under 1600,55498,71607.3684312164,-16109
11,PARKER COUNTY,MILLSAP ISD,1100,Other Central City Suburban,under 1600,58943,71607.3684312164,-12664
11,PARKER COUNTY,PEASTER ISD,1706,Other Central City Suburban,under 5000,57339,71607.3684312164,-14268
11,PARKER COUNTY,POOLVILLE ISD,749,Non-metropolitan Fast Growing,under 1600,55027,71607.3684312164,-16580
11,PARKER COUNTY,SPRINGTOWN ISD,4171,Other Central City Suburban,under 5000,61509,71607.3684312164,-10098
11,PARKER COUNTY,WEATHERFORD ISD,8203,Other Central City,over 5000,63268,71607.3684312164,-8339
16,PARMER COUNTY,BOVINA ISD,449,Rural,under 1600,59100,60564.5971563981,-1465
16,PARMER COUNTY,FARWELL ISD,605,Rural,under 1600,53151,60564.5971563981,-7414
16,PARMER COUNTY,FRIONA ISD,1020,Non-metropolitan Stable,under 1600,52491,60564.5971563981,-8074
16,PARMER COUNTY,LAZBUDDIE ISD,129,Rural,under 300,53595,60564.5971563981,-6970
18,PECOS COUNTY,BUENA VISTA ISD,255,Rural,under 300,52881,60459.200436324,-7578
18,PECOS COUNTY,FORT STOCKTON ISD,8427,Non-metropolitan Stable,over 5000,62060,60459.200436324,1601
18,PECOS COUNTY,IRAAN-SHEFFIELD COLLEGIATE ISD,347,Rural,under 1600,56758,60459.200436324,-3701
06,POLK COUNTY,BIG SANDY ISD,1197,Rural,under 1600,63103,58620.8758327314,4482
06,POLK COUNTY,CORRIGAN-CAMDEN ISD,836,Rural,under 1600,67018,58620.8758327314,8397
06,POLK COUNTY,GOODRICH ISD,272,Rural,under 300,53681,58620.8758327314,-4940
06,POLK COUNTY,LEGGETT ISD,199,Rural,under 300,57823,58620.8758327314,-798
06,POLK COUNTY,LIVINGSTON ISD,4052,Independent Town,under 5000,64776,58620.8758327314,6155
06,POLK COUNTY,ONALASKA ISD,1242,Non-metropolitan Stable,under 1600,60867,58620.8758327314,2246
16,POTTER COUNTY,AMARILLO ISD,29729,Other Central City,over 5000,60491,58618.976744186,1872
16,POTTER COUNTY,BUSHLAND ISD,1455,Other Central City Suburban,under 1600,54681,58618.976744186,-3938
16,POTTER COUNTY,HIGHLAND PARK ISD,7225,Rural,over 5000,61388,58618.976744186,2769
16,POTTER COUNTY,RIVER ROAD ISD,1191,Other Central City Suburban,under 1600,53737,58618.976744186,-4882
18,PRESIDIO COUNTY,MARFA ISD,223,Rural,under 300,53557,50000,3557
18,PRESIDIO COUNTY,PRESIDIO ISD,1038,Non-metropolitan Stable,under 1600,49785,50000,-215
07,RAINS COUNTY,RAINS ISD,1738,Non-metropolitan Stable,under 5000,53537,50000,3537
16,RANDALL COUNTY,CANYON ISD,11378,Other Central City,over 5000,60465,50000,10465
18,REAGAN COUNTY,REAGAN COUNTY ISD,810,Rural,under 1600,51491,60000,-8509
20,REAL COUNTY,LEAKEY ISD,368,Rural,under 1600,52848,60000,-7152
08,RED RIVER COUNTY,AVERY ISD,320,Rural,under 1600,52058,54348.824120603,-2291
08,RED RIVER COUNTY,CLARKSVILLE ISD,529,Rural,under 1600,50774,54348.824120603,-3575
08,RED RIVER COUNTY,DETROIT ISD,497,Rural,under 1600,49145,54348.824120603,-5204
08,RED RIVER COUNTY,RIVERCREST ISD,709,Rural,under 1600,52824,54348.824120603,-1525
18,REEVES COUNTY,BALMORHEA ISD,145,Rural,under 300,65653,63571.1096914927,2082
18,REEVES COUNTY,PECOS-BARSTOW-TOYAH ISD,2882,Non-metropolitan Stable,under 5000,63573,63571.1096914927,2
03,REFUGIO COUNTY,AUSTWELL-TIVOLI ISD,139,Rural,under 300,54757,66279.3305660377,-11522
03,REFUGIO COUNTY,REFUGIO ISD,685,Rural,under 1600,50071,66279.3305660377,-16208
03,REFUGIO COUNTY,WOODSBORO ISD,410,Rural,under 1600,56304,66279.3305660377,-9975
16,ROBERTS COUNTY,MIAMI ISD,198,Rural,under 300,60250,45000,15250
06,ROBERTSON COUNTY,BREMOND ISD,504,Rural,under 1600,55557,59761.0897165613,-4204
06,ROBERTSON COUNTY,CALVERT ISD,147,Rural,under 300,48519,59761.0897165613,-11242
06,ROBERTSON COUNTY,FRANKLIN ISD,1387,Other Central City Suburban,under 1600,54920,59761.0897165613,-4841
06,ROBERTSON COUNTY,HEARNE ISD,764,Rural,under 1600,54033,59761.0897165613,-5728
06,ROBERTSON COUNTY,MUMFORD ISD,600,Rural,under 1600,57357,59761.0897165613,-2404
10,ROCKWALL COUNTY,ROCKWALL ISD,18798,Other Central City,over 5000,63142,60000,3142
10,ROCKWALL COUNTY,ROYSE CITY ISD,9371,Other Central City Suburban,over 5000,60170,60000,170
15,RUNNELS COUNTY,BALLINGER ISD,799,Rural,under 1600,48679,54684.7014218009,-6006
15,RUNNELS COUNTY,MILES ISD,508,Rural,under 1600,50688,54684.7014218009,-3997
15,RUNNELS COUNTY,OLFEN ISD,142,Rural,under 300,51831,54684.7014218009,-2854
15,RUNNELS COUNTY,WINTERS ISD,539,Rural,under 1600,47307,54684.7014218009,-7378
07,RUSK COUNTY,CARLISLE ISD,639,Rural,under 1600,48799,50000,-1201
07,RUSK COUNTY,HENDERSON ISD,3292,Independent Town,under 5000,55419,50000,5419
07,RUSK COUNTY,LANEVILLE ISD,140,Rural,under 300,61790,50000,11790
07,RUSK COUNTY,LEVERETTS CHAPEL ISD,238,Rural,under 300,52913,50000,2913
07,RUSK COUNTY,MOUNT ENTERPRISE ISD,507,Non-metropolitan Fast Growing,under 1600,52604,50000,2604
07,RUSK COUNTY,OVERTON ISD,534,Rural,under 1600,61590,50000,11590
07,RUSK COUNTY,TATUM ISD,1383,Other Central City Suburban,under 1600,63875,50000,13875
07,RUSK COUNTY,WEST RUSK COUNTY CONSOLIDATED ISD,1013,Non-metropolitan Stable,under 1600,54999,50000,4999
07,SABINE COUNTY,HEMPHILL ISD,764,Rural,under 1600,57280,45000,12280
07,SABINE COUNTY,WEST SABINE ISD,618,Rural,under 1600,58237,45000,13237
07,SAN AUGUSTINE COUNTY,BROADDUS ISD,391,Rural,under 1600,59748,59181.2767908309,567
07,SAN AUGUSTINE COUNTY,SAN AUGUSTINE ISD,622,Rural,under 1600,59027,59181.2767908309,-154
06,SAN JACINTO COUNTY,COLDSPRING-OAKHURST CISD,1626,Other Central City Suburban,under 5000,59397,50000,9397
06,SAN JACINTO COUNTY,SHEPHERD ISD,1958,Other Central City Suburban,under 5000,62367,50000,12367
02,SAN PATRICIO COUNTY,ARANSAS PASS ISD,1731,Other Central City Suburban,under 5000,56715,67793.1095495911,-11078
02,SAN PATRICIO COUNTY,GREGORY-PORTLAND ISD,4963,Other Central City Suburban,under 5000,69017,67793.1095495911,1224
02,SAN PATRICIO COUNTY,INGLESIDE ISD,2010,Other Central City Suburban,under 5000,68326,67793.1095495911,533
02,SAN PATRICIO COUNTY,MATHIS ISD,1447,Non-metropolitan Stable,under 1600,58180,67793.1095495911,-9613
02,SAN PATRICIO COUNTY,ODEM-EDROY ISD,913,Non-metropolitan Stable,under 1600,55317,67793.1095495911,-12476
02,SAN PATRICIO COUNTY,SINTON ISD,2023,Non-metropolitan Stable,under 5000,60725,67793.1095495911,-7068
02,SAN PATRICIO COUNTY,TAFT ISD,836,Rural,under 1600,56736,67793.1095495911,-11057
15,SAN SABA COUNTY,CHEROKEE ISD,130,Rural,under 300,59828,60000,-172
15,SAN SABA COUNTY,RICHLAND SPRINGS ISD,140,Rural,under 300,58466,60000,-1534
15,SAN SABA COUNTY,SAN SABA ISD,738,Rural,under 1600,61459,60000,1459
15,SCHLEICHER COUNTY,SCHLEICHER ISD,451,Rural,under 1600,51876,50000,1876
14,SCURRY COUNTY,HERMLEIGH ISD,260,Rural,under 300,52893,60000,-7107
14,SCURRY COUNTY,IRA ISD,249,Rural,under 300,58216,60000,-1784
14,SCURRY COUNTY,SNYDER ISD,2396,Non-metropolitan Stable,under 5000,54506,60000,-5494
14,SHACKELFORD COUNTY,ALBANY ISD,496,Rural,under 1600,53492,49040.9032258065,4451
14,SHACKELFORD COUNTY,MORAN ISD,121,Rural,under 300,52124,49040.9032258065,3083
07,SHELBY COUNTY,CENTER ISD,2434,Non-metropolitan Stable,under 5000,55463,50000,5463
07,SHELBY COUNTY,EXCELSIOR ISD,77,Rural,under 300,48277,50000,-1723
07,SHELBY COUNTY,JOAQUIN ISD,712,Rural,under 1600,57743,50000,7743
07,SHELBY COUNTY,SHELBYVILLE ISD,857,Rural,under 1600,57802,50000,7802
07,SHELBY COUNTY,TENAHA ISD,459,Rural,under 1600,69823,50000,19823
07,SHELBY COUNTY,TIMPSON ISD,717,Rural,under 1600,53639,50000,3639
16,SHERMAN COUNTY,STRATFORD ISD,534,Rural,under 1600,53718,50000,3718
16,SHERMAN COUNTY,TEXHOMA ISD,161,Rural,under 300,45408,50000,-4592
07,SMITH COUNTY,ARP ISD,1002,Non-metropolitan Stable,under 1600,54268,62120.0368676868,-7852
07,SMITH COUNTY,BULLARD ISD,2912,Other Central City Suburban,under 5000,51936,62120.0368676868,-10184
07,SMITH COUNTY,CHAPEL HILL ISD,4248,Other Central City Suburban,under 5000,54854,62120.0368676868,-7266
07,SMITH COUNTY,LINDALE ISD,4552,Other Central City Suburban,under 5000,54921,62120.0368676868,-7199
07,SMITH COUNTY,TROUP ISD,1075,Non-metropolitan Stable,under 1600,55010,62120.0368676868,-7110
07,SMITH COUNTY,TYLER ISD,18304,Other Central City,over 5000,58890,62120.0368676868,-3230
07,SMITH COUNTY,WHITEHOUSE ISD,4826,Other Central City Suburban,under 5000,57035,62120.0368676868,-5085
07,SMITH COUNTY,WINONA ISD,1153,Other Central City Suburban,under 1600,55430,62120.0368676868,-6690
11,SOMERVELL COUNTY,GLEN ROSE ISD,2060,Non-metropolitan Stable,under 5000,61361,60000,1361
01,STARR COUNTY,RIO GRANDE CITY GRULLA ISD,9482,Other Central City Suburban,over 5000,54294,60000,-5706
01,STARR COUNTY,ROMA ISD,5932,Non-metropolitan Stable,over 5000,59916,60000,-84
01,STARR COUNTY,SAN ISIDRO ISD,163,Rural,under 300,51111,60000,-8889
14,STEPHENS COUNTY,BRECKENRIDGE ISD,1390,Non-metropolitan Stable,under 1600,53417,59375.0193780982,-5958
15,STERLING COUNTY,STERLING CITY ISD,360,Rural,under 1600,54803,60000,-5197
14,STONEWALL COUNTY,ASPERMONT ISD,192,Rural,under 300,49020,58950.904109589,-9931
15,SUTTON COUNTY,SONORA ISD,654,Rural,under 1600,53358,50000,3358
16,SWISHER COUNTY,HAPPY ISD,270,Rural,under 300,55640,50000,5640
16,SWISHER COUNTY,KRESS ISD,264,Rural,under 300,50158,50000,158
16,SWISHER COUNTY,TULIA ISD,884,Non-metropolitan Stable,under 1600,53884,50000,3884
11,TARRANT COUNTY,ARLINGTON ISD,54750,Major Urban,over 5000,66378,65679.9675791464,698
11,TARRANT COUNTY,AZLE ISD,7218,Major Suburban,over 5000,65083,65679.9675791464,-597
11,TARRANT COUNTY,BIRDVILLE ISD,22219,Major Suburban,over 5000,65446,65679.9675791464,-234
11,TARRANT COUNTY,CARROLL ISD,8292,Major Suburban,over 5000,63559,65679.9675791464,-2121
11,TARRANT COUNTY,CASTLEBERRY ISD,3740,Major Suburban,under 5000,66052,65679.9675791464,372
11,TARRANT COUNTY,CROWLEY ISD,16956,Major Suburban,over 5000,68202,65679.9675791464,2522
11,TARRANT COUNTY,EAGLE MT-SAGINAW ISD,23462,Major Suburban,over 5000,63964,65679.9675791464,-1716
11,TARRANT COUNTY,EVERMAN ISD,5139,Major Suburban,over 5000,66800,65679.9675791464,1120
11,TARRANT COUNTY,FORT WORTH ISD,71060,Major Urban,over 5000,68965,65679.9675791464,3285
11,TARRANT COUNTY,GRAPEVINE-COLLEYVILLE ISD,13565,Major Suburban,over 5000,64684,65679.9675791464,-996
11,TARRANT COUNTY,HURST-EULESS-BEDFORD ISD,23226,Major Suburban,over 5000,67206,65679.9675791464,1526
11,TARRANT COUNTY,KELLER ISD,33250,Major Suburban,over 5000,64103,65679.9675791464,-1577
11,TARRANT COUNTY,KENNEDALE ISD,2827,Major Suburban,under 5000,65415,65679.9675791464,-265
11,TARRANT COUNTY,LAKE WORTH ISD,3238,Major Suburban,under 5000,65466,65679.9675791464,-214
11,TARRANT COUNTY,MANSFIELD ISD,35851,Major Suburban,over 5000,68264,65679.9675791464,2584
11,TARRANT COUNTY,WHITE SETTLEMENT ISD,6895,Major Suburban,over 5000,64558,65679.9675791464,-1122
14,TAYLOR COUNTY,ABILENE ISD,14652,Other Central City,over 5000,56384,59326.661270145,-2943
14,TAYLOR COUNTY,JIM NED CISD,1630,Non-metropolitan Fast Growing,under 5000,54743,59326.661270145,-4584
14,TAYLOR COUNTY,MERKEL ISD,1127,Other Central City Suburban,under 1600,52619,59326.661270145,-6708
14,TAYLOR COUNTY,TRENT ISD,146,Rural,under 300,52849,59326.661270145,-6478
14,TAYLOR COUNTY,WYLIE ISD,24738,Other Central City Suburban,over 5000,52910,59326.661270145,-6417
18,TERRELL COUNTY,TERRELL COUNTY ISD,117,Rural,under 300,49852,50000,-148
17,TERRY COUNTY,BROWNFIELD ISD,1655,Non-metropolitan Stable,under 5000,51553,59009.1640142903,-7456
17,TERRY COUNTY,MEADOW ISD,237,Rural,under 300,52179,59009.1640142903,-6830
17,TERRY COUNTY,WELLMAN-UNION CISD,279,Rural,under 300,54498,59009.1640142903,-4511
09,THROCKMORTON COUNTY,THROCKMORTON COLLEGIATE ISD,131,Rural,under 300,50030,45000,5030
09,THROCKMORTON COUNTY,WOODSON ISD,176,Rural,under 300,65222,45000,20222
08,TITUS COUNTY,CHAPEL HILL ISD,4248,Non-metropolitan Stable,under 5000,55056,50000,5056
08,TITUS COUNTY,HARTS BLUFF ISD,891,Non-metropolitan Fast Growing,under 1600,53840,50000,3840
08,TITUS COUNTY,MOUNT PLEASANT ISD,5152,Independent Town,over 5000,53974,50000,3974
15,TOM GREEN COUNTY,CHRISTOVAL ISD,636,Rural,under 1600,48042,50000,-1958
15,TOM GREEN COUNTY,GRAPE CREEK ISD,1199,Other Central City Suburban,under 1600,48453,50000,-1547
15,TOM GREEN COUNTY,SAN ANGELO ISD,13180,Other Central City,over 5000,54091,50000,4091
15,TOM GREEN COUNTY,VERIBEST ISD,255,Rural,under 300,53527,50000,3527
15,TOM GREEN COUNTY,WALL ISD,1334,Other Central City Suburban,under 1600,50722,50000,722
