region,county,district_name,total_enrollment,tea_description,bill_category,average_base_pay,alice_threshold_hh_under_65,difference
10,DALLAS COUNTY,RICHARDSON ISD,37085,Major Suburban,over 5000,65020,60000,5020
10,DALLAS COUNTY,SUNNYVALE ISD,2317,Other Central City Suburban,under 5000,63999,60000,3999
17,DAWSON COUNTY,DAWSON ISD,713,Rural,under 1600,48557,50000,-1443
17,DAWSON COUNTY,KLONDIKE ISD,253,Rural,under 300,53353,50000,3353
17,DAWSON COUNTY,LAMESA ISD,1520,Non-metropolitan Stable,under 1600,48949,50000,-1051
17,DAWSON COUNTY,SANDS CISD,246,Rural,under 300,57573,50000,7573
16,DEAF SMITH COUNTY,HEREFORD ISD,3950,Other Central City Suburban,under 5000,54215,60000,-5785
16,DEAF SMITH COUNTY,WALCOTT ISD,144,Rural,under 300,53399,60000,-6601
08,DELTA COUNTY,COOPER ISD,878,Rural,under 1600,55906,50000,5906
08,DELTA COUNTY,FANNINDEL ISD,139,Rural,under 300,46123,50000,-3877
11,DENTON COUNTY,ARGYLE ISD,5414,Other Central City Suburban,over 5000,64452,67909.9524401006,-3458
11,DENTON COUNTY,AUBREY ISD,4000,Non-metropolitan Fast Growing,under 5000,61868,67909.9524401006,-6042
11,DENTON COUNTY,DENTON ISD,32866,Other Central City Suburban,over 5000,63469,67909.9524401006,-4441
11,DENTON COUNTY,KRUM ISD,2483,Non-metropolitan Stable,under 5000,56937,67909.9524401006,-10973
11,DENTON COUNTY,LAKE DALLAS ISD,3811,Other Central City Suburban,under 5000,64183,67909.9524401006,-3727
11,DENTON COUNTY,LEWISVILLE ISD,48440,Other Central City,over 5000,65255,67909.9524401006,-2655
11,DENTON COUNTY,LITTLE ELM ISD,8211,Other Central City Suburban,over 5000,63818,67909.9524401006,-4092
11,DENTON COUNTY,NORTHWEST ISD,30736,Other Central City Suburban,over 5000,64609,67909.9524401006,-3301
11,DENTON COUNTY,PILOT POINT ISD,1551,Non-metropolitan Stable,under 1600,56937,67909.9524401006,-10973
11,DENTON COUNTY,PONDER ISD,1677,Non-metropolitan Stable,under 5000,57043,67909.9524401006,-10867
11,DENTON COUNTY,SANGER ISD,2810,Non-metropolitan Stable,under 5000,59947,67909.9524401006,-7963
03,DEWITT COUNTY,CUERO ISD,1905,Non-metropolitan Stable,under 5000,55238,50000,5238
03,DEWITT COUNTY,MEYERSVILLE ISD,155,Rural,under 300,57466,50000,7466
03,DEWITT COUNTY,NORDHEIM ISD,126,Rural,under 300,52119,50000,2119
03,DEWITT COUNTY,WESTHOFF ISD,88,Rural,under 300,72434,50000,22434
03,DEWITT COUNTY,YOAKUM ISD,1498,Non-metropolitan Stable,under 1600,52408,50000,2408
03,DEWITT COUNTY,YORKTOWN ISD,541,Rural,under 1600,58308,50000,8308
17,DICKENS COUNTY,PATTON SPRINGS ISD,76,Rural,under 300,54417,50000,4417
17,DICKENS COUNTY,SPUR ISD,205,Rural,under 300,49717,50000,-283
20,DIMMIT COUNTY,CARRIZO SPRINGS CISD,1915,Other Central City Suburban,under 5000,54162,45000,9162
16,DONLEY COUNTY,CLARENDON ISD,417,Rural,under 1600,50025,50000,25
16,DONLEY COUNTY,HEDLEY ISD,101,Rural,under 300,49556,50000,-444
02,DUVAL COUNTY,BENAVIDES ISD,445,Rural,under 1600,39612,70077.1196319018,-30465
02,DUVAL COUNTY,FREER ISD,706,Rural,under 1600,59667,70077.1196319018,-10410
02,DUVAL COUNTY,RAMIREZ CSD,22,Rural,under 300,53956,70077.1196319018,-16121
02,DUVAL COUNTY,SAN DIEGO ISD,1513,Non-metropolitan Stable,under 1600,58075,70077.1196319018,-12002
14,EASTLAND COUNTY,CISCO ISD,825,Rural,under 1600,52607,50000,2607
